;SIRET;APP_Libelle_activite_etablissement
435;7,53567E+13;Boulangerie-Pâtisserie
436;8,01092E+13;_
437;7,53593E+13;Restaurant
438;7,54014E+13;Boulangerie-Pâtisserie
439;8,01312E+13;Boulangerie-Pâtisserie
440;7,75609E+13;_
441;8,01645E+13;Chocolatier
442;8,01868E+13;Boulangerie-Pâtisserie
443;7,88748E+13;_
444;8,01941E+13;Restaurant
445;8,02743E+13;Boucherie-Charcuterie
446;7,90259E+13;Boulangerie-Pâtisserie
447;7,8494E+13;_
448;8,03058E+13;_
449;7,90412E+13;Restaurant
450;7,88985E+13;Restaurant
451;8,03617E+13;Boulangerie-Pâtisserie
452;7,90467E+13;Restaurant
453;7,89297E+13;Restaurant
454;8,03654E+13;Restaurant
455;7,91657E+13;_
456;7,89453E+13;Restaurant
457;8,03856E+13;Boulangerie-Pâtisserie
458;7,92383E+13;Restaurant
459;7,8962E+13;Alimentation générale
460;8,03894E+13;Restaurant
461;7,93344E+13;Boulangerie-Pâtisserie
462;7,89822E+13;Boulangerie-Pâtisserie
463;8,0476E+13;Boulangerie-Pâtisserie
464;7,93535E+13;Restaurant
465;7,90796E+13;_
466;8,0481E+13;_
467;7,93588E+13;Restaurant
468;7,91594E+13;Restaurant
469;8,04992E+13;_
470;7,94454E+13;_
471;7,91798E+13;_
472;8,05208E+13;Boulangerie-Pâtisserie
473;7,95406E+13;Boulangerie-Pâtisserie
474;7,92432E+13;Boucherie-Charcuterie
475;8,08328E+13;Boulangerie-Pâtisserie
476;7,97542E+13;_
477;7,93347E+13;Boulangerie-Pâtisserie
478;8,08361E+13;Boulangerie-Pâtisserie
479;7,97754E+13;Alimentation générale
480;7,93542E+13;Restaurant
481;7,98836E+13;Boulangerie-Pâtisserie
482;7,93887E+13;Alimentation générale
483;8,10281E+13;Boulangerie-Pâtisserie
484;7,9898E+13;Restaurant
485;7,94156E+13;Boulangerie-Pâtisserie
486;8,10446E+13;Boulangerie-Pâtisserie
487;7,99413E+13;Restaurant
488;7,94229E+13;Boulangerie-Pâtisserie
489;8,10912E+13;Boulangerie-Pâtisserie
490;7,99848E+13;Boulangerie-Pâtisserie
491;7,94541E+13;Boulangerie-Pâtisserie
492;8,11456E+13;Restaurant
493;8,00365E+13;Restaurant
494;7,95177E+13;Boulangerie-Pâtisserie
495;8,11789E+13;_
496;8,0129E+13;Restaurant
497;8,11869E+13;Boulangerie-Pâtisserie
498;8,01906E+13;Alimentation générale
499;7,97861E+13;_
500;8,12204E+13;_
501;8,04649E+13;_
502;7,9788E+13;Restaurant
503;8,12242E+13;_
504;8,0756E+13;Alimentation générale
505;7,98084E+13;Boulangerie-Pâtisserie
506;8,12611E+13;Boucherie-Charcuterie
507;8,0797E+13;_
508;7,9834E+13;Restaurant
509;8,1282E+13;Poissonnerie
510;7,9844E+13;Restaurant
511;8,13141E+13;Boulangerie-Pâtisserie
512;8,08331E+13;Restaurant
513;7,98473E+13;Restaurant
514;8,13438E+13;Traiteur
515;8,09025E+13;Boulangerie-Pâtisserie
516;7,98686E+13;Boulangerie-Pâtisserie
517;8,13801E+13;Restaurant
518;8,09562E+13;Boulangerie-Pâtisserie
519;7,99695E+13;Alimentation générale
520;8,14169E+13;Boulangerie-Pâtisserie
521;8,09611E+13;Boulangerie-Pâtisserie
522;8,01716E+13;Alimentation générale
523;8,14399E+13;Restaurant
524;8,09964E+13;Restaurant
