;SIRET;ods_type_activite
822;8,43566E+13;Autres
823;8,38542E+13;Autres
824;8,33019E+13;Autres
825;8,43925E+13;Autres
826;8,38646E+13;Autres
827;8,33362E+13;Autres
828;8,44261E+13;Autres
829;8,38724E+13;Autres
830;8,33431E+13;Autres
831;8,44627E+13;Autres
832;8,38741E+13;Autres
833;8,33494E+13;Autres
834;8,44859E+13;Autres
835;8,3928E+13;Autres
836;8,33867E+13;Autres
837;8,44932E+13;Autres
838;8,39333E+13;Autres
839;8,34566E+13;Autres
840;8,44984E+13;Autres
841;8,40055E+13;Autres
842;8,34983E+13;Autres
843;8,47634E+13;Autres
844;8,40303E+13;Autres
845;8,35115E+13;Autres
846;8,49323E+13;Autres
847;8,40573E+13;Autres
848;8,37643E+13;Autres
849;8,49334E+13;Autres
850;8,4087E+13;Autres
851;8,37876E+13;Autres
852;8,50371E+13;Autres
853;8,41241E+13;Autres
854;8,38443E+13;Autres
855;8,50413E+13;Autres
856;8,41671E+13;Autres
857;8,38449E+13;Autres
858;8,50442E+13;Autres
859;8,41799E+13;Autres
860;8,38508E+13;Autres
861;8,50536E+13;Autres
862;8,4199E+13;Autres
863;8,38757E+13;Autres
864;8,50792E+13;Autres
865;8,42476E+13;Autres
866;8,38813E+13;Autres
867;8,50822E+13;Autres
868;8,43489E+13;Autres
869;8,38878E+13;Autres
870;8,51124E+13;Autres
871;8,43535E+13;Autres
872;8,39024E+13;Autres
873;8,51317E+13;Autres
874;8,44241E+13;Autres
875;8,39231E+13;Autres
876;8,51377E+13;Autres
877;8,44464E+13;Autres
878;8,39436E+13;Autres
879;8,51561E+13;Autres
880;8,44474E+13;Autres
881;8,39996E+13;Autres
882;8,52972E+13;Autres
883;8,45114E+13;Autres
884;8,4057E+13;Autres
885;8,53835E+13;Autres
886;8,47695E+13;Autres
887;8,41002E+13;Autres
888;8,54047E+13;Autres
889;8,48017E+13;Autres
890;8,41758E+13;Autres
891;8,77533E+13;Autres
892;8,48086E+13;Autres
893;8,41806E+13;Autres
894;8,77598E+13;Autres
895;8,48103E+13;Autres
896;8,42336E+13;Autres
897;8,77611E+13;Autres
898;8,48106E+13;Autres
899;8,77863E+13;Autres
900;8,48348E+13;Autres
901;8,42833E+13;Autres
902;8,77979E+13;Autres
903;8,48895E+13;Autres
904;8,43021E+13;Autres
905;8,78398E+13;Autres
906;8,48938E+13;Autres
907;8,43275E+13;Autres
908;8,78521E+13;Autres
909;8,49211E+13;Autres
910;8,4336E+13;Autres
911;8,78562E+13;Autres
912;8,49356E+13;Autres
913;8,4374E+13;Autres
914;8,78966E+13;Autres
915;8,49396E+13;Autres
916;8,43793E+13;Autres
917;8,79038E+13;Autres
918;8,49457E+13;Autres
919;8,44235E+13;Autres
920;8,7946E+13;Autres
921;8,49508E+13;Autres
922;8,44392E+13;Autres
923;8,79996E+13;Autres
924;8,49528E+13;Autres
925;8,4451E+13;Autres
926;8,80207E+13;Autres
927;8,49992E+13;Autres
928;8,44845E+13;Autres
929;8,80807E+13;Autres
930;8,50032E+13;Autres
931;8,44905E+13;Autres
932;8,81301E+13;Autres
933;8,50071E+13;Autres
934;8,44988E+13;Autres
935;8,81725E+13;Autres
936;8,50236E+13;Autres
937;8,45008E+13;Autres
938;8,81996E+13;Autres
939;8,50255E+13;Autres
940;8,4505E+13;Autres
941;8,82519E+13;Autres
942;8,50291E+13;Autres
943;8,48213E+13;Autres
944;8,82583E+13;Autres
945;8,50291E+13;Autres
946;8,48319E+13;Autres
947;8,82833E+13;Autres
948;8,50373E+13;Autres
949;8,48549E+13;Autres
950;8,83765E+13;Autres
951;8,50456E+13;Autres
952;8,48558E+13;Autres
953;8,83876E+13;Autres
954;8,51767E+13;Autres
955;8,48876E+13;Autres
956;8,84118E+13;Autres
957;8,51969E+13;Autres
958;8,49079E+13;Autres
959;8,84861E+13;Autres
960;8,52885E+13;Autres
961;8,49243E+13;Autres
962;8,84961E+13;Autres
963;8,53073E+13;Autres
964;8,49261E+13;Autres
965;8,85189E+13;Autres
966;8,53379E+13;Autres
967;8,49302E+13;Autres
968;8,85242E+13;Autres
969;8,53394E+13;Autres
970;8,5006E+13;Autres
971;8,85308E+13;Autres
972;8,53729E+13;Autres
973;8,50115E+13;Autres
974;8,87559E+13;Autres
975;8,53809E+13;Autres
976;8,50367E+13;Autres
977;8,87606E+13;Autres
978;8,78639E+13;Autres
979;8,50454E+13;Autres
980;8,87654E+13;Autres
981;8,78684E+13;Autres
982;8,51173E+13;Autres
983;8,87757E+13;Autres
984;8,78733E+13;Autres
985;8,51203E+13;Autres
986;8,87757E+13;Autres
987;8,78758E+13;Autres
988;8,51204E+13;Autres
989;8,87827E+13;Autres
990;8,78809E+13;Autres
991;8,51219E+13;Autres
992;8,87951E+13;Autres
993;8,79319E+13;Autres
994;8,51384E+13;Autres
