;SIRET;Numero_inspection;Date_inspection;Synthese_eval_sanit
233;4,83065E+13;16146149;2021-09-02T02:00:00+02:00;Très satisfaisant
234;4,90379E+13;15914728;2021-03-02T01:00:00+01:00;A améliorer
235;4,52121E+13;16008785;2021-05-20T02:00:00+02:00;Très satisfaisant
236;4,8339E+13;15853369;2021-01-13T01:00:00+01:00;Satisfaisant
237;4,90818E+13;16050060;2021-06-16T02:00:00+02:00;Satisfaisant
238;4,5227E+13;16097032;2021-07-22T02:00:00+02:00;A améliorer
239;4,83583E+13;15930260;2021-02-25T01:00:00+01:00;A améliorer
240;4,94458E+13;15956865;2021-04-02T02:00:00+02:00;Satisfaisant
241;4,5256E+13;15955195;2021-04-01T02:00:00+02:00;Satisfaisant
242;4,84151E+13;16053697;2021-06-16T02:00:00+02:00;Très satisfaisant
243;4,94637E+13;15968199;2021-04-14T02:00:00+02:00;Satisfaisant
244;4,84385E+13;15851646;2021-01-12T01:00:00+01:00;Satisfaisant
245;4,95196E+13;15933752;2021-03-12T01:00:00+01:00;Satisfaisant
246;4,52744E+13;15917771;2021-03-04T01:00:00+01:00;Satisfaisant
247;4,87921E+13;16102961;2021-07-27T02:00:00+02:00;Satisfaisant
248;4,95272E+13;16041651;2021-06-12T02:00:00+02:00;Très satisfaisant
249;4,77907E+13;15857519;2021-01-15T01:00:00+01:00;Satisfaisant
250;4,89564E+13;15990633;2021-05-03T02:00:00+02:00;Satisfaisant
251;4,98753E+13;16162612;2021-09-16T02:00:00+02:00;Satisfaisant
252;4,78012E+13;16221738;2021-10-28T02:00:00+02:00;Satisfaisant
253;4,89657E+13;16086936;2021-07-13T02:00:00+02:00;Très satisfaisant
254;5,0006E+13;16162466;2021-09-16T02:00:00+02:00;Satisfaisant
255;4,78456E+13;15972780;2021-04-15T02:00:00+02:00;Satisfaisant
256;4,90976E+13;16189856;2021-10-06T02:00:00+02:00;A améliorer
257;5,00168E+13;15940939;2021-03-23T01:00:00+01:00;Satisfaisant
258;4,78456E+13;15988396;2021-04-28T02:00:00+02:00;A améliorer
259;4,91142E+13;16080372;2021-07-09T02:00:00+02:00;Satisfaisant
260;5,00732E+13;16182982;2021-09-28T02:00:00+02:00;A améliorer
261;4,80095E+13;15890211;2021-02-09T01:00:00+01:00;A améliorer
262;4,92182E+13;16158941;2021-09-07T02:00:00+02:00;Très satisfaisant
263;5,01238E+13;15864236;2021-01-21T01:00:00+01:00;Satisfaisant
264;4,8015E+13;16117932;2021-08-06T02:00:00+02:00;Satisfaisant
265;4,93711E+13;16034311;2021-06-08T02:00:00+02:00;A améliorer
266;5,01488E+13;15947681;2021-03-26T01:00:00+01:00;Satisfaisant
267;4,8087E+13;15994806;2021-05-04T02:00:00+02:00;Satisfaisant
268;4,94211E+13;16251001;2021-11-23T01:00:00+01:00;Très satisfaisant
269;5,01531E+13;16171753;2021-09-23T02:00:00+02:00;Satisfaisant
270;4,80975E+13;16193816;2021-10-06T02:00:00+02:00;Très satisfaisant
271;4,94299E+13;16121500;2021-08-09T02:00:00+02:00;Satisfaisant
272;5,02069E+13;16046104;2021-06-17T02:00:00+02:00;A améliorer
273;4,81047E+13;15956806;2021-04-02T02:00:00+02:00;Très satisfaisant
274;4,99924E+13;16133384;2021-08-19T02:00:00+02:00;Très satisfaisant
275;5,03287E+13;16226027;2021-11-05T01:00:00+01:00;Satisfaisant
276;4,82019E+13;15987199;2021-04-27T02:00:00+02:00;Satisfaisant
277;5,00298E+13;15995806;2021-05-06T02:00:00+02:00;Satisfaisant
278;5,05239E+13;16140569;2021-08-27T02:00:00+02:00;A améliorer
279;4,82265E+13;16185897;2021-10-04T02:00:00+02:00;Très satisfaisant
280;5,00313E+13;16150159;2021-09-07T02:00:00+02:00;Satisfaisant
281;5,07438E+13;16022026;2021-05-31T02:00:00+02:00;Satisfaisant
282;4,82341E+13;15938057;2021-03-19T01:00:00+01:00;Satisfaisant
283;5,00313E+13;16111873;2021-07-23T02:00:00+02:00;Satisfaisant
284;5,07556E+13;16166078;2021-09-20T02:00:00+02:00;Satisfaisant
285;4,8239E+13;16017403;2021-05-28T02:00:00+02:00;Satisfaisant
286;5,00366E+13;16108840;2021-07-29T02:00:00+02:00;Satisfaisant
287;5,08562E+13;15945232;2021-03-25T01:00:00+01:00;Très satisfaisant
288;4,83818E+13;16131424;2021-08-18T02:00:00+02:00;Très satisfaisant
289;5,0108E+13;15856059;2021-01-13T01:00:00+01:00;Très satisfaisant
290;5,09079E+13;16166360;2021-09-20T02:00:00+02:00;Satisfaisant
291;4,84919E+13;16035210;2021-06-08T02:00:00+02:00;Satisfaisant
292;5,01283E+13;15895369;2021-02-12T01:00:00+01:00;A améliorer
293;5,09316E+13;16173420;2021-09-23T02:00:00+02:00;Satisfaisant
294;4,88761E+13;16040042;2021-06-14T02:00:00+02:00;Satisfaisant
295;5,01458E+13;15999723;2021-05-11T02:00:00+02:00;Très satisfaisant
296;5,10447E+13;16169600;2021-09-21T02:00:00+02:00;Satisfaisant
297;4,88878E+13;16028988;2021-06-07T02:00:00+02:00;Très satisfaisant
298;5,0315E+13;16022632;2021-06-02T02:00:00+02:00;Très satisfaisant
299;5,12308E+13;15949823;2021-03-29T02:00:00+02:00;A améliorer
300;4,89776E+13;15876159;2021-02-02T01:00:00+01:00;Satisfaisant
301;5,03463E+13;16194632;2021-09-29T02:00:00+02:00;Satisfaisant
302;5,1307E+13;15860956;2021-01-20T01:00:00+01:00;Satisfaisant
303;4,90375E+13;16148871;2021-09-06T02:00:00+02:00;A améliorer
304;5,04191E+13;16190752;2021-10-06T02:00:00+02:00;A améliorer
305;5,13897E+13;16104712;2021-07-27T02:00:00+02:00;Satisfaisant
306;4,90789E+13;16094749;2021-07-20T02:00:00+02:00;Satisfaisant
307;5,0466E+13;15922665;2021-03-09T01:00:00+01:00;A améliorer
308;5,13899E+13;15983530;2021-04-27T02:00:00+02:00;Très satisfaisant
309;4,91044E+13;15879471;2021-02-03T01:00:00+01:00;Satisfaisant
310;5,04801E+13;16198369;2021-10-12T02:00:00+02:00;Satisfaisant
311;5,17627E+13;15950626;2021-03-29T02:00:00+02:00;Satisfaisant
312;4,91135E+13;16148207;2021-09-02T02:00:00+02:00;Satisfaisant
313;5,07722E+13;15850838;2021-01-12T01:00:00+01:00;Très satisfaisant
314;5,18949E+13;16066977;2021-07-01T02:00:00+02:00;Très satisfaisant
315;4,91324E+13;16161218;2021-09-14T02:00:00+02:00;Très satisfaisant
316;5,0834E+13;15903455;2021-02-22T01:00:00+01:00;Satisfaisant
317;5,19058E+13;16070325;2021-07-05T02:00:00+02:00;Très satisfaisant
318;4,91332E+13;15923527;2021-03-10T01:00:00+01:00;Très satisfaisant
319;5,19261E+13;15952294;2021-03-30T02:00:00+02:00;Très satisfaisant
320;4,91645E+13;16030361;2021-05-11T02:00:00+02:00;Satisfaisant
321;5,09459E+13;15909814;2021-02-26T01:00:00+01:00;A améliorer
322;5,21323E+13;16015452;2021-05-27T02:00:00+02:00;Satisfaisant
323;4,93387E+13;15857563;2021-01-15T01:00:00+01:00;Satisfaisant
324;5,09915E+13;15995618;2021-05-05T02:00:00+02:00;Satisfaisant
325;5,21438E+13;16127219;2021-08-17T02:00:00+02:00;Satisfaisant
326;4,94021E+13;15991679;2021-05-04T02:00:00+02:00;Très satisfaisant
327;5,1035E+13;15882511;2021-01-19T01:00:00+01:00;Satisfaisant
328;5,21757E+13;15866357;2021-01-19T01:00:00+01:00;Très satisfaisant
329;4,95287E+13;15930439;2021-03-15T01:00:00+01:00;Satisfaisant
330;5,10987E+13;15933705;2021-03-17T01:00:00+01:00;Satisfaisant
331;5,21951E+13;15977463;2021-04-20T02:00:00+02:00;A améliorer
332;4,9829E+13;16149718;2021-09-07T02:00:00+02:00;Satisfaisant
333;5,11609E+13;16051855;2021-06-15T02:00:00+02:00;Satisfaisant
334;5,2232E+13;16179134;2021-09-28T02:00:00+02:00;Très satisfaisant
335;4,9866E+13;16107998;2021-07-28T02:00:00+02:00;Satisfaisant
336;5,12194E+13;16051099;2021-06-11T02:00:00+02:00;Satisfaisant
337;5,23284E+13;15915881;2021-03-03T01:00:00+01:00;Très satisfaisant
338;4,99309E+13;15947067;2021-03-25T01:00:00+01:00;Satisfaisant
339;5,12316E+13;15858641;2021-01-19T01:00:00+01:00;Satisfaisant
340;5,23818E+13;15968546;2021-04-14T02:00:00+02:00;Satisfaisant
341;5,00058E+13;16072157;2021-07-06T02:00:00+02:00;Satisfaisant
342;5,13044E+13;15904396;2021-01-12T01:00:00+01:00;Satisfaisant
343;5,24118E+13;15890930;2021-02-09T01:00:00+01:00;Satisfaisant
344;5,00937E+13;16273784;2021-12-09T01:00:00+01:00;Très satisfaisant
345;5,13294E+13;15988409;2021-04-30T02:00:00+02:00;A améliorer
346;5,24216E+13;16254935;2021-11-30T01:00:00+01:00;Très satisfaisant
347;5,0199E+13;15857248;2021-01-18T01:00:00+01:00;Satisfaisant
348;5,136E+13;16219621;2021-10-07T02:00:00+02:00;Satisfaisant
