;SIRET;APP_Libelle_activite_etablissement
396;6,59804E+13;Primeur
397;5,21026E+13;Restaurant
398;5,32779E+13;Boulangerie-Pâtisserie
399;7,50713E+13;Restaurant
400;5,2156E+13;Restaurant
401;5,32907E+13;_
402;7,51989E+13;Alimentation générale
403;5,22183E+13;Restaurant
404;5,32942E+13;Restaurant
405;7,52245E+13;Boulangerie-Pâtisserie
406;5,23522E+13;Boulangerie-Pâtisserie
407;5,335E+13;Boulangerie-Pâtisserie
408;7,52247E+13;Restaurant
409;5,23558E+13;Boucherie-Charcuterie
410;5,33812E+13;Boucherie-Charcuterie
411;7,52352E+13;Boulangerie-Pâtisserie
412;5,24449E+13;Boucherie-Charcuterie
413;5,34593E+13;Alimentation générale
414;7,53054E+13;Restaurant
415;5,25201E+13;Alimentation générale
416;5,34705E+13;Restaurant
417;7,53114E+13;Boulangerie-Pâtisserie
418;5,29035E+13;Boulangerie-Pâtisserie
419;5,34944E+13;Chocolatier
420;7,53158E+13;Boulangerie-Pâtisserie
421;5,29376E+13;Restaurant
422;5,38034E+13;Restaurant
423;7,53191E+13;Boulangerie-Pâtisserie
424;5,30763E+13;Restaurant
425;5,38535E+13;Restaurant
426;7,53332E+13;Boucherie-Charcuterie
427;5,32005E+13;Boulangerie-Pâtisserie
428;5,39824E+13;Boulangerie-Pâtisserie
429;7,53485E+13;Traiteur
430;5,33214E+13;Restaurant
431;5,52083E+13;Alimentation générale
432;7,53531E+13;Restaurant
433;5,33214E+13;Restaurant
434;5,62028E+13;_
435;7,53888E+13;Boulangerie-Pâtisserie
436;5,33852E+13;Boulangerie-Pâtisserie
437;5,8215E+13;Restaurant
438;7,88748E+13;Restaurant
439;5,3395E+13;Rayon boucherie-charcuterie
440;6,32E+13;Alimentation générale
441;7,8922E+13;Boulangerie-Pâtisserie
442;5,34643E+13;Boulangerie-Pâtisserie
443;7,9055E+13;Restaurant
444;5,34714E+13;_
445;6,32E+13;Alimentation générale
446;7,912E+13;Boucherie-Charcuterie
