SIRET;Code_postal;APP_Libelle_activite_etablissement;Agrement;ods_type_activite;Synthese_eval_sanit_A améliorer;Synthese_eval_sanit_A corriger de manière urgente;Synthese_eval_sanit_Satisfaisant;Synthese_eval_sanit_Très satisfaisant
52444934500031;95;Boucherie-Charcuterie;1;Autres;0;0;1;0
53459301700013;12;Alimentation générale;1;Autres;0;0;1;0
75305407100034;29;Restaurant;1;Autres;0;0;0;1
52520109100028;92;Alimentation générale;1;Autres;0;0;1;0
53470477000088;92;Restaurant;1;Autres;0;0;1;0
75311441200020;95;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
52903474600014;94;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53494405300014;78;Chocolatier;1;Autres;0;0;0;1
75315804700013;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
52937558600011;91;Restaurant;1;Autres;0;0;1;0
53803359800011;92;Restaurant;1;Autres;1;0;0;0
75319057800017;92;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
53076261600015;6;Restaurant;1;Autres;1;0;0;0
53853481900015;69;Restaurant;1;Autres;0;0;0;1
75333150300015;78;Boucherie-Charcuterie;1;Autres;1;0;0;0
53200536000013;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53982368200015;65;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
75348458300012;63;Traiteur;1;Autres;0;0;1;0
53321400300287;92;Restaurant;1;Autres;0;0;0;1
55208329702669;92;Alimentation générale;1;Autres;0;0;1;0
75353128400010;64;Restaurant;1;Autres;0;0;0;1
53321400300303;78;Restaurant;1;Autres;0;0;0;1
75388841100018;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53385151500023;78;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
58215004100488;69;Restaurant;1;Autres;0;0;0;1
78874760800057;47;Restaurant;1;Autres;1;0;0;0
53395018400010;1;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
63200001401959;92;Alimentation générale;1;Autres;0;0;0;1
78922004300010;92;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
53464307700017;94;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
79055002400018;95;Restaurant;1;Autres;0;0;0;1
63200001402213;92;Alimentation générale;1;Autres;0;0;1;0
79120020700011;62;Boucherie-Charcuterie;1;Autres;0;0;1;0
