id_etablissement;id_activite;id_type_activite;code_postal;agrement;niveau_hygiene
114;19;0;69;;0
114;19;4;69;;0
114;6;0;69;;0
114;6;4;69;;0
114;13;0;69;;0
114;13;4;69;;0
114;8;0;69;;0
114;8;4;69;;0
114;22;0;69;;0
114;22;4;69;;0
114;32;0;69;;0
114;32;4;69;;0
114;4;0;69;;0
114;4;4;69;;0
114;31;0;69;;0
114;31;4;69;;0
114;18;0;69;;0
114;18;4;69;;0
114;2;0;69;;0
114;2;4;69;;0
114;11;0;69;;0
114;11;4;69;;0
133;4;0;80;;0
134;0;0;65;;1
114;10;0;69;;2
114;10;4;69;;2
114;5;0;69;;2
114;5;4;69;;2
114;7;0;69;;2
114;7;4;69;;2
114;0;0;69;;2
114;0;4;69;;2
114;19;0;69;;2
114;19;4;69;;2
114;6;0;69;;2
114;6;4;69;;2
114;13;0;69;;2
114;13;4;69;;2
114;8;0;69;;2
114;8;4;69;;2
114;22;0;69;;2
114;22;4;69;;2
114;32;0;69;;2
114;32;4;69;;2
114;4;0;69;;2
114;4;4;69;;2
114;31;0;69;;2
114;31;4;69;;2
114;18;0;69;;2
114;18;4;69;;2
114;2;0;69;;2
114;2;4;69;;2
114;11;0;69;;2
114;11;4;69;;2
135;1;0;92;;0
119;3;0;95;;0
119;0;0;95;;0
136;4;0;92;;0
137;4;0;69;;0
138;4;0;92;;0
139;0;0;95;;0
140;1;0;38;;1
141;4;0;32;;0
142;10;0;69;;1
143;0;0;94;;0
144;6;0;14;;0
145;1;0;74;;0
146;0;0;14;;0
146;19;0;14;;0
146;10;0;14;;0
147;2;0;78;;0
148;4;0;94;;2
149;1;0;65;;2
149;4;0;65;;2
150;6;0;62;;2
151;4;0;80;;1
152;6;0;14;;0
152;32;0;14;;0
152;13;0;14;;0
152;8;0;14;;0
152;1;0;14;;0
152;19;0;14;;0
152;22;0;14;;0
152;0;0;14;;0
153;1;0;95;;0
154;4;0;29;;0
152;6;0;14;;0
152;32;0;14;;0
152;13;0;14;;0
152;8;0;14;;0
152;1;0;14;;0
152;19;0;14;;0
152;22;0;14;;0
152;0;0;14;;0
155;4;0;92;;2
156;0;0;92;;2
152;6;0;14;;0
152;32;0;14;;0
152;13;0;14;;0
152;8;0;14;;0
152;1;0;14;;0
152;19;0;14;;0
152;22;0;14;;0
152;0;0;14;;0
157;4;0;65;;1
158;6;0;92;;0
158;8;0;92;;0
158;32;0;92;;0
158;13;0;92;;0
158;19;0;92;;0
158;22;0;92;;0
158;0;0;92;;0
159;0;0;94;;0
160;4;0;92;;0
161;1;0;69;;1
162;4;0;94;;2
